threshold, guesses
0.01, 0
0.02, 1
0.03, 2
0.04, 6
0.05, 14
0.06, 24
0.07, 36
0.08, 51
0.09, 65
0.1, 99
0.11, 138
0.12, 173
0.13, 227
0.14, 277
0.15, 342
0.16, 388
0.17, 465
0.18, 557
0.19, 613
0.2, 667
0.21, 755
0.22, 806
0.23, 930
0.24, 989
0.25, 1098
0.26, 1187
0.27, 1302
0.28, 1427
0.29, 1585
0.3, 1756
0.31, 1969
0.32, 2164
0.33, 2363
0.34, 2543
0.35000000000000003, 3004
0.36, 3385
0.37, 3646
0.38, 4172
0.39, 4537
0.4, 4660
0.41000000000000003, 5110
0.42, 5557
0.43, 6626
0.44, 7349
0.45, 8373
0.46, 8877
